REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,ATBF00I00,1,2015,27.51234251
REGION1,ATBF00I00,1,2016,27.43873938
REGION1,ATBF00I00,1,2017,27.36533316
REGION1,ATBF00I00,1,2018,27.29212332
REGION1,ATBF00I00,1,2019,27.21910934
REGION1,ATBF00I00,1,2020,27.13737408
REGION1,ATBF00I00,1,2021,27.02162225
REGION1,ATBF00I00,1,2022,26.90636414
REGION1,ATBF00I00,1,2023,26.79159766
REGION1,ATBF00I00,1,2024,26.6773207
REGION1,ATBF00I00,1,2025,26.56353118
REGION1,ATBF00I00,1,2026,26.45022702
REGION1,ATBF00I00,1,2027,26.33740615
REGION1,ATBF00I00,1,2028,26.2250665
REGION1,ATBF00I00,1,2029,26.11320603
REGION1,ATBF00I00,1,2030,25.97985575
REGION1,ATBF00I00,1,2031,25.93226889
REGION1,ATBF00I00,1,2032,25.88476919
REGION1,ATBF00I00,1,2033,25.83735649
REGION1,ATBF00I00,1,2034,25.79003064
REGION1,ATBF00I00,1,2035,25.74279148
REGION1,ATBF00I00,1,2036,25.69563884
REGION1,ATBF00I00,1,2037,25.64857257
REGION1,ATBF00I00,1,2038,25.60159251
REGION1,ATBF00I00,1,2039,25.55469851
REGION1,ATBF00I00,1,2040,25.50789039
REGION1,ATBF00I00,1,2041,25.46116802
REGION1,ATBF00I00,1,2042,25.41453123
REGION1,ATBF00I00,1,2043,25.36797986
REGION1,ATBF00I00,1,2044,25.32151376
REGION1,ATBF00I00,1,2045,25.27513277
REGION1,ATBF00I00,1,2046,25.22883673
REGION1,ATBF00I00,1,2047,25.1826255
REGION1,ATBF00I00,1,2048,25.1364989
REGION1,ATBF00I00,1,2049,25.0904568
REGION1,ATBF00I00,1,2050,25.02811846
REGION1,ATBF00I00,1,2051,25.00309035
REGION1,ATBF00I00,1,2052,24.97808726
REGION1,ATBF00I00,1,2053,24.95310917
REGION1,ATBF00I00,1,2054,24.92815606
REGION1,ATBF00I00,1,2055,24.9032279
REGION1,ATBF00I00,1,2056,24.89077629
REGION1,ATBF00I00,1,2057,24.8783309
REGION1,ATBF00I00,1,2058,24.86589174
REGION1,ATBF00I00,1,2059,24.85345879
REGION1,ATBF00I00,1,2060,24.84103206
REGION1,ATBF00X00,1,2015,25.01122047
REGION1,ATBF00X00,1,2016,24.94430853
REGION1,ATBF00X00,1,2017,24.8775756
REGION1,ATBF00X00,1,2018,24.8110212
REGION1,ATBF00X00,1,2019,24.74464485
REGION1,ATBF00X00,1,2020,24.67034007
REGION1,ATBF00X00,1,2021,24.56511113
REGION1,ATBF00X00,1,2022,24.46033104
REGION1,ATBF00X00,1,2023,24.35599787
REGION1,ATBF00X00,1,2024,24.25210973
REGION1,ATBF00X00,1,2025,24.14866471
REGION1,ATBF00X00,1,2026,24.04566093
REGION1,ATBF00X00,1,2027,23.9430965
REGION1,ATBF00X00,1,2028,23.84096955
REGION1,ATBF00X00,1,2029,23.73927821
REGION1,ATBF00X00,1,2030,23.61805069
REGION1,ATBF00X00,1,2031,23.5747899
REGION1,ATBF00X00,1,2032,23.53160835
REGION1,ATBF00X00,1,2033,23.4885059
REGION1,ATBF00X00,1,2034,23.4454824
REGION1,ATBF00X00,1,2035,23.40253771
REGION1,ATBF00X00,1,2036,23.35967167
REGION1,ATBF00X00,1,2037,23.31688415
REGION1,ATBF00X00,1,2038,23.27417501
REGION1,ATBF00X00,1,2039,23.2315441
REGION1,ATBF00X00,1,2040,23.18899127
REGION1,ATBF00X00,1,2041,23.14651638
REGION1,ATBF00X00,1,2042,23.1041193
REGION1,ATBF00X00,1,2043,23.06179987
REGION1,ATBF00X00,1,2044,23.01955796
REGION1,ATBF00X00,1,2045,22.97739342
REGION1,ATBF00X00,1,2046,22.93530612
REGION1,ATBF00X00,1,2047,22.8932959
REGION1,ATBF00X00,1,2048,22.85136264
REGION1,ATBF00X00,1,2049,22.80950618
REGION1,ATBF00X00,1,2050,22.75283497
REGION1,ATBF00X00,1,2051,22.73008213
REGION1,ATBF00X00,1,2052,22.70735205
REGION1,ATBF00X00,1,2053,22.6846447
REGION1,ATBF00X00,1,2054,22.66196005
REGION1,ATBF00X00,1,2055,22.63929809
REGION1,ATBF00X00,1,2056,22.62797844
REGION1,ATBF00X00,1,2057,22.61666446
REGION1,ATBF00X00,1,2058,22.60535612
REGION1,ATBF00X00,1,2059,22.59405344
REGION1,ATBF00X00,1,2060,22.58275642
REGION1,ATBM00I00,1,2015,4.655510125
REGION1,ATBM00I00,1,2016,4.655510125
REGION1,ATBM00I00,1,2017,4.655510125
REGION1,ATBM00I00,1,2018,4.655510125
REGION1,ATBM00I00,1,2019,4.655510125
REGION1,ATBM00I00,1,2020,4.655510125
REGION1,ATBM00I00,1,2021,4.655510125
REGION1,ATBM00I00,1,2022,4.655510125
REGION1,ATBM00I00,1,2023,4.655510125
REGION1,ATBM00I00,1,2024,4.655510125
REGION1,ATBM00I00,1,2025,4.655510125
REGION1,ATBM00I00,1,2026,4.655510125
REGION1,ATBM00I00,1,2027,4.655510125
REGION1,ATBM00I00,1,2028,4.655510125
REGION1,ATBM00I00,1,2029,4.655510125
REGION1,ATBM00I00,1,2030,4.655510125
REGION1,ATBM00I00,1,2031,4.655510125
REGION1,ATBM00I00,1,2032,4.655510125
REGION1,ATBM00I00,1,2033,4.655510125
REGION1,ATBM00I00,1,2034,4.655510125
REGION1,ATBM00I00,1,2035,4.655510125
REGION1,ATBM00I00,1,2036,4.655510125
REGION1,ATBM00I00,1,2037,4.655510125
REGION1,ATBM00I00,1,2038,4.655510125
REGION1,ATBM00I00,1,2039,4.655510125
REGION1,ATBM00I00,1,2040,4.655510125
REGION1,ATBM00I00,1,2041,4.655510125
REGION1,ATBM00I00,1,2042,4.655510125
REGION1,ATBM00I00,1,2043,4.655510125
REGION1,ATBM00I00,1,2044,4.655510125
REGION1,ATBM00I00,1,2045,4.655510125
REGION1,ATBM00I00,1,2046,4.655510125
REGION1,ATBM00I00,1,2047,4.655510125
REGION1,ATBM00I00,1,2048,4.655510125
REGION1,ATBM00I00,1,2049,4.655510125
REGION1,ATBM00I00,1,2050,4.655510125
REGION1,ATBM00I00,1,2051,4.655510125
REGION1,ATBM00I00,1,2052,4.655510125
REGION1,ATBM00I00,1,2053,4.655510125
REGION1,ATBM00I00,1,2054,4.655510125
REGION1,ATBM00I00,1,2055,4.655510125
REGION1,ATBM00I00,1,2056,4.655510125
REGION1,ATBM00I00,1,2057,4.655510125
REGION1,ATBM00I00,1,2058,4.655510125
REGION1,ATBM00I00,1,2059,4.655510125
REGION1,ATBM00I00,1,2060,4.655510125
REGION1,ATBM00X00,1,2015,2.327755063
REGION1,ATBM00X00,1,2016,2.327755063
REGION1,ATBM00X00,1,2017,2.327755063
REGION1,ATBM00X00,1,2018,2.327755063
REGION1,ATBM00X00,1,2019,2.327755063
REGION1,ATBM00X00,1,2020,2.327755063
REGION1,ATBM00X00,1,2021,2.327755063
REGION1,ATBM00X00,1,2022,2.327755063
REGION1,ATBM00X00,1,2023,2.327755063
REGION1,ATBM00X00,1,2024,2.327755063
REGION1,ATBM00X00,1,2025,2.327755063
REGION1,ATBM00X00,1,2026,2.327755063
REGION1,ATBM00X00,1,2027,2.327755063
REGION1,ATBM00X00,1,2028,2.327755063
REGION1,ATBM00X00,1,2029,2.327755063
REGION1,ATBM00X00,1,2030,2.327755063
REGION1,ATBM00X00,1,2031,2.327755063
REGION1,ATBM00X00,1,2032,2.327755063
REGION1,ATBM00X00,1,2033,2.327755063
REGION1,ATBM00X00,1,2034,2.327755063
REGION1,ATBM00X00,1,2035,2.327755063
REGION1,ATBM00X00,1,2036,2.327755063
REGION1,ATBM00X00,1,2037,2.327755063
REGION1,ATBM00X00,1,2038,2.327755063
REGION1,ATBM00X00,1,2039,2.327755063
REGION1,ATBM00X00,1,2040,2.327755063
REGION1,ATBM00X00,1,2041,2.327755063
REGION1,ATBM00X00,1,2042,2.327755063
REGION1,ATBM00X00,1,2043,2.327755063
REGION1,ATBM00X00,1,2044,2.327755063
REGION1,ATBM00X00,1,2045,2.327755063
REGION1,ATBM00X00,1,2046,2.327755063
REGION1,ATBM00X00,1,2047,2.327755063
REGION1,ATBM00X00,1,2048,2.327755063
REGION1,ATBM00X00,1,2049,2.327755063
REGION1,ATBM00X00,1,2050,2.327755063
REGION1,ATBM00X00,1,2051,2.327755063
REGION1,ATBM00X00,1,2052,2.327755063
REGION1,ATBM00X00,1,2053,2.327755063
REGION1,ATBM00X00,1,2054,2.327755063
REGION1,ATBM00X00,1,2055,2.327755063
REGION1,ATBM00X00,1,2056,2.327755063
REGION1,ATBM00X00,1,2057,2.327755063
REGION1,ATBM00X00,1,2058,2.327755063
REGION1,ATBM00X00,1,2059,2.327755063
REGION1,ATBM00X00,1,2060,2.327755063
REGION1,ATBMCCPH1,1,2015,0.008364
REGION1,ATBMCCPH1,1,2016,0.008364
REGION1,ATBMCCPH1,1,2017,0.008364
REGION1,ATBMCCPH1,1,2018,0.008364
REGION1,ATBMCCPH1,1,2019,0.008364
REGION1,ATBMCCPH1,1,2020,0.008364
REGION1,ATBMCCPH1,1,2021,0.008364
REGION1,ATBMCCPH1,1,2022,0.008364
REGION1,ATBMCCPH1,1,2023,0.008364
REGION1,ATBMCCPH1,1,2024,0.008364
REGION1,ATBMCCPH1,1,2025,0.008364
REGION1,ATBMCCPH1,1,2026,0.008364
REGION1,ATBMCCPH1,1,2027,0.008364
REGION1,ATBMCCPH1,1,2028,0.008364
REGION1,ATBMCCPH1,1,2029,0.008364
REGION1,ATBMCCPH1,1,2030,0.008364
REGION1,ATBMCCPH1,1,2031,0.008364
REGION1,ATBMCCPH1,1,2032,0.008364
REGION1,ATBMCCPH1,1,2033,0.008364
REGION1,ATBMCCPH1,1,2034,0.008364
REGION1,ATBMCCPH1,1,2035,0.008364
REGION1,ATBMCCPH1,1,2036,0.008364
REGION1,ATBMCCPH1,1,2037,0.008364
REGION1,ATBMCCPH1,1,2038,0.008364
REGION1,ATBMCCPH1,1,2039,0.008364
REGION1,ATBMCCPH1,1,2040,0.008364
REGION1,ATBMCCPH1,1,2041,0.008364
REGION1,ATBMCCPH1,1,2042,0.008364
REGION1,ATBMCCPH1,1,2043,0.008364
REGION1,ATBMCCPH1,1,2044,0.008364
REGION1,ATBMCCPH1,1,2045,0.008364
REGION1,ATBMCCPH1,1,2046,0.008364
REGION1,ATBMCCPH1,1,2047,0.008364
REGION1,ATBMCCPH1,1,2048,0.008364
REGION1,ATBMCCPH1,1,2049,0.008364
REGION1,ATBMCCPH1,1,2050,0.008364
REGION1,ATBMCCPH1,1,2051,0.008364
REGION1,ATBMCCPH1,1,2052,0.008364
REGION1,ATBMCCPH1,1,2053,0.008364
REGION1,ATBMCCPH1,1,2054,0.008364
REGION1,ATBMCCPH1,1,2055,0.008364
REGION1,ATBMCCPH1,1,2056,0.008364
REGION1,ATBMCCPH1,1,2057,0.008364
REGION1,ATBMCCPH1,1,2058,0.008364
REGION1,ATBMCCPH1,1,2059,0.008364
REGION1,ATBMCCPH1,1,2060,0.008364
REGION1,ATCO00I00,1,2015,2.61450974
REGION1,ATCO00I00,1,2016,2.696567808
REGION1,ATCO00I00,1,2017,2.778625877
REGION1,ATCO00I00,1,2018,2.860683946
REGION1,ATCO00I00,1,2019,2.942742014
REGION1,ATCO00I00,1,2020,3.024800083
REGION1,ATCO00I00,1,2021,3.102056881
REGION1,ATCO00I00,1,2022,3.17931368
REGION1,ATCO00I00,1,2023,3.256570479
REGION1,ATCO00I00,1,2024,3.333827277
REGION1,ATCO00I00,1,2025,3.411084076
REGION1,ATCO00I00,1,2026,3.488340875
REGION1,ATCO00I00,1,2027,3.565597673
REGION1,ATCO00I00,1,2028,3.642854472
REGION1,ATCO00I00,1,2029,3.720111271
REGION1,ATCO00I00,1,2030,3.797368069
REGION1,ATCO00I00,1,2031,3.797368069
REGION1,ATCO00I00,1,2032,3.797368069
REGION1,ATCO00I00,1,2033,3.797368069
REGION1,ATCO00I00,1,2034,3.797368069
REGION1,ATCO00I00,1,2035,3.797368069
REGION1,ATCO00I00,1,2036,3.797368069
REGION1,ATCO00I00,1,2037,3.797368069
REGION1,ATCO00I00,1,2038,3.797368069
REGION1,ATCO00I00,1,2039,3.797368069
REGION1,ATCO00I00,1,2040,3.797368069
REGION1,ATCO00I00,1,2041,3.797368069
REGION1,ATCO00I00,1,2042,3.797368069
REGION1,ATCO00I00,1,2043,3.797368069
REGION1,ATCO00I00,1,2044,3.797368069
REGION1,ATCO00I00,1,2045,3.797368069
REGION1,ATCO00I00,1,2046,3.797368069
REGION1,ATCO00I00,1,2047,3.797368069
REGION1,ATCO00I00,1,2048,3.797368069
REGION1,ATCO00I00,1,2049,3.797368069
REGION1,ATCO00I00,1,2050,3.797368069
REGION1,ATCO00I00,1,2051,3.797368069
REGION1,ATCO00I00,1,2052,3.797368069
REGION1,ATCO00I00,1,2053,3.797368069
REGION1,ATCO00I00,1,2054,3.797368069
REGION1,ATCO00I00,1,2055,3.797368069
REGION1,ATCO00I00,1,2056,3.797368069
REGION1,ATCO00I00,1,2057,3.797368069
REGION1,ATCO00I00,1,2058,3.797368069
REGION1,ATCO00I00,1,2059,3.797368069
REGION1,ATCO00I00,1,2060,3.797368069
REGION1,ATCOCHPH3,1,2015,0.005202
